featuredImg,modTitle,modDesc,takeDownDate,takenDownFrom,takenDownFromLink,republishedOnName,republishedOnLink,isCreatorBanned,creatorName,creatorLink,isNSFW,gameName,gameLink
https://image.nostr.build/eb6c5f663e634a7e424e9cf4bbc5f9f41dd8cc7ac033f16ab04eb0786de0d65e.png,My Personal Panam,,2023/12/15,Nexus Mods,https://www.nexusmods.com/,DEG Mods;Modding Haven;Based Mods,https://degmods.com;https://moddinghaven.com/mediawiki/index.php/Cyberpunk_2077_mods/My_Personal_Panam;https://basedmods.eth.limo/mod/4G3Wgh7US7sNYu8KlasrfH1eCOREZwgkJxuvAGmJ83c/,yes,Isaac1995,,no,Cyberpunk 2077,https://store.steampowered.com/app/1091500/Cyberpunk_2077/
https://image.nostr.build/52d31588b7247cc34709c2563cfb7decccc272b5df66b107ab7516d9687a21a3.jpg,Angrboda Fixed,,2024/09/26,Nexus Mods;GameBanana,https://www.nexusmods.com/;https://gamebanana.com/mods/543435,DEG Mods;Modding Haven;Based Mods,https://degmods.com/mod/naddr1qvzqqqrkcgpzquuz5nxzzap2c034s8cuv5ayr7gjaxz7d22pgwfh0qpmsesy9eflqp4nxvp5xqer5den8qexzdrrvverzde5xfskxvm9xv6nsvtxx93nvdfnvy6rze3exyex2wfcx4jnvcfexscngveexvmnwwpsxd3rsd3kxq6ryef4xdnr5vfkxq6rze35x5knvwf3xckngdfevvkkywpsxsknyd3sxe3rjvphxdnxvvsnhegtt;https://moddinghaven.com/mediawiki/index.php/God_of_War_Ragnar%C3%B6k_mods/Angrboda_Fixed;https://basedmods.eth.limo/mod/ia7uiF_QAJFDRLPM8uWmO7Y6PyTXgYExRXdWbLZC9Kw/,yes,Comic Fan,https://rumble.com/c/c-4660932,no,God of War: Ragnarok,https://store.steampowered.com/app/2322010/God_of_War_Ragnarok?snr=1_7_15__13
https://image.nostr.build/7a3b076c359d88a95e37cb81cacfa6d5f2ac17aa5492705c052b6a3cf94b7977.jpg,Uncensored cartoon,,unknown,Nexus Mods,https://www.nexusmods.com/,DEG Mods;Modding Haven;Based Mods,https://degmods.com/mod/naddr1qvzqqqrkcgpzpyen9u0yx7lqt2s6fsktk62v4lyhyxl90n9f3thha3nyrz26u3e4qp4nxvp5xqer5wfnxvenye33v56rxdmzv5cr2ctpx9sngcejvd3xyd3ex33kzenr8ymnyvtzv56nwcmrvyunsct9vcmk2cekxc6rzwpex4sk2dphxv6n5wty8q6rqcfjvykkycnrv5knge3hvyknjdmrv5knqd3evyenswty8pjngwg62dake;https://moddinghaven.com/mediawiki/index.php/Atomic_Heart_mods/Uncensored_cartoon;https://basedmods.eth.limo/mod/vGJBpX-g5vpoQRVaImk9KrGy_r5tSxClEEtAaNUluKw/,yes,Nu Pogodi,,no,Atomic Heart,https://store.steampowered.com/app/668580/Atomic_Heart/
https://image.nostr.build/52e4953c8b01fed429d82bfcdd69d2538603e9bec8a1d127161891792e16f20b.png,Sirona Ryan voice fix,,unknown,Nexus Mods,https://www.nexusmods.com/,DEG Mods;Modding Haven;Based Mods,https://degmods.com/mod/naddr1qvzqqqrkcgpzquuz5nxzzap2c034s8cuv5ayr7gjaxz7d22pgwfh0qpmsesy9eflqp4nxvp5xqer5den8qexzdrrvverzde5xfskxvm9xv6nsvtxx93nvdfnvy6rze3exyex2wfcx4jnvcfexscngveexvmnwwpsxd3rsd3kxq6ryef4xdnr5df5xccngvtrxqkkydpexukngvp4xgknsvp4vskkgdrxvgmkxdmp8quxycgx78rpf;https://moddinghaven.com/mediawiki/index.php/Hogwarts_Legacy_mods/Sirona_Ryan_voice_fix;https://basedmods.eth.limo/mod/tKNsJJYU9-uCaabop7-wXNeNFgr5VTsEt-hGyYVOrDU/,yes,n/a,,no,Hogwarts Legacy,https://store.steampowered.com/app/990080/Hogwarts_Legacy/
https://image.nostr.build/05ccfe5104ad04366bf4d212b2ac266947e58186ed4785b1504129b575a2b094.jpg,Flag-B-Gone!,,2022/03/05,Nexus Mods,https://www.nexusmods.com/,DEG Mods;Modding Haven;Based Mods,https://degmods.com/mod/naddr1qvzqqqrkcgpzquuz5nxzzap2c034s8cuv5ayr7gjaxz7d22pgwfh0qpmsesy9eflqp4nxvp5xqer5den8qexzdrrvverzde5xfskxvm9xv6nsvtxx93nvdfnvy6rze3exyex2wfcx4jnvcfexscngveexvmnwwpsxd3rsd3kxq6ryef4xdnr5ctzxscrxvnyxskn2wr9xskngc3cxckkzcny8ykngep4v93nyenxvs6xxdcwvhjwc;https://moddinghaven.com/mediawiki/index.php/A_Hat_in_Time_mods/Flag-B-Gone!;https://basedmods.eth.limo/mod/tpj7GOKblGSy8V5fr2zO6Y7fjq9IcaUx0mKrup3PpzM/,yes,ducklife9000,,no,A Hat in Time,https://store.steampowered.com/app/253230/A_Hat_in_Time/
https://image.nostr.build/e9a0a470e0bab05211c9a59356a984c6527e2ee307c644fc5caa657026e6fe34.jpg,Non-Newtonian-New-York,,2022/08/22,Nexus Mods,https://www.nexusmods.com/,DEG Mods;Modding Haven;Based Mods,https://degmods.com/mod/naddr1qvzqqqrkcgpzquuz5nxzzap2c034s8cuv5ayr7gjaxz7d22pgwfh0qpmsesy9eflqp4nxvp5xqer5den8qexzdrrvverzde5xfskxvm9xv6nsvtxx93nvdfnvy6rze3exyex2wfcx4jnvcfexscngveexvmnwwpsxd3rsd3kxq6ryef4xdnr5vf5x9nrxcekxvknjvmzxvkngcfsx5kkzcf3xqknsvmrvgenwe3j8p3nzwgka59vj;https://moddinghaven.com/mediawiki/index.php/Spider-Man_(2018)_mods/Non-Newtonian_New_York;https://basedmods.eth.limo/mod/K8q-nA1w7C3JkoisS4D2LaOhAF1Y2rJq2zKpyKk-3bE/,yes,Mike Hawk,,no,Marvel’s Spider-Man Remastered,https://store.steampowered.com/app/1817070/Marvels_SpiderMan_Remastered/
https://image.nostr.build/1414aa4526dc22f2a477262419eef80a5419bdf3e53275ae123f464be8ea4021.jpg,Nude Toggler,,2024/10/04,Nexus Mods,https://www.nexusmods.com/,Modding Haven;Based Mods,https://moddinghaven.com/mediawiki/index.php/Horizon_Forbidden_West_mods/Nude_Toggler_-_Reshade;https://basedmods.eth.limo/mod/0AP3kOlWjVRletN9_5PwkcHcHcyVqhG1EmXusA9jC9w/,yes,Shinova,,yes,Horizon Forbidden West,https://store.steampowered.com/app/2420110/Horizon_Forbidden_West_Complete_Edition/
https://image.nostr.build/fc5523a312291163ab401a998c5d5140d024531ba72bd827e657a0f27cf03edf.jpg,Uncensored Content Restored,,unknown,Nexus Mods,https://www.nexusmods.com/,Modding Haven;Based Mods,https://moddinghaven.com/mediawiki/index.php/Skullgirls_mods/Uncensored_Content_Restored;https://basedmods.eth.limo/mod/cjkGI8-4RL4mXuu-2YWfgZEgrDVrsMF96yt_RcYp-2k/,yes,n/a,,no,Skullgirls 2nd Encore,https://store.steampowered.com/app/245170/Skullgirls_2nd_Encore/
https://image.nostr.build/6320a14b14a236c4211fc41dbf8208071523b720d53dade16aba7f1355bae087.jpg,2004 Localization Restored,,2024/05/25,Nexus Mods,https://www.nexusmods.com/,Modding Haven;Based Mods;RPG HQ,https://moddinghaven.com/mediawiki/index.php/Paper_Mario_-_The_Thousand_Year_Door/Shadow_Sirens_2004_Dialogue_Restoration;https://basedmods.eth.limo/mod/ccRQ0toRo0gWVvdNcdMSlkd8IQd9TEHBJZ_QdF6YBoM/;https://rpghq.org/forums/viewtopic.php?t=2296-vivian-english-2004-localization-restored-1-3-the-thousand-year-door-switch,yes,n/a,,no,Paper Mario: The Thousand Year Door,https://www.nintendo.com/us/store/products/paper-mario-the-thousand-year-door-switch/
https://image.nostr.build/3799022e49c84df3695ddd212eb4c9b4983ef437aae8791e5fed66fd9b70f647.jpg,Replace Tiresias Portraits,,unknown,Nexus Mods,https://www.nexusmods.com/,Based Mods;RPG HQ,;https://basedmods.eth.limo/mod/fGvxeRY8e_6dwi3bnmdIoQeGgUvdrXjcu1GgEB08Bek/;https://rpghq.org/forums/viewtopic.php?p=51915-replace-tiresias-portraits-beta-0-9-hades,yes,Emphyrio,,no,Hades,https://store.steampowered.com/app/1145360/Hades/
